Text,Language
" 
@Evil_bestiaire
 @Shibanonyme
  et 3 autres personnes
C'est pour ça perso j'fais super gaffe, vu qu'un rien peut valoir une suspension ://
1
1",French
"Cher 
@TwitterFrance
 , est-il possible de préciser quand l’article est payant pour ne pas cliquer pour rien ?
Le DL Grenoble
@LeDL_Grenoble
 · 13h
Isère. Grenoble : elle avait administré des anxiolytiques à ses filles pendant deux ans https://ledauphine.com/faits-divers-justice/2022/01/26/grenoble-elle-avait-administre-des-anxiolytiques-a-ses-filles-pendant-deux-ans?utm_medium=Social&utm_source=Twitter#Echobox=1643149743-2…",French
" 
@Shibanonyme
 @AlexBattleboi
  et 3 autres personnes
24 heures je crois, j'ai fait appel
2",French
" 
@Evil_bestiaire
 @Shibanonyme
  et 4 autres personnes
moi je veux bien qu'ils se couvrent les miches juridiquement mais bon d'ici à ce qu'une association nazie porte plainte contre moi je crois que j'ai un peu de marge
1",French
" 
@Evil_bestiaire
 @AlexBattleboi
  et 3 autres personnes
combien de temps ?
1
1",French
" 
@Shibanonyme
 @AlexBattleboi
  et 3 autres personnes
ouais comme tu dis ouais…
2
1",French
" 
@Evil_bestiaire
 @AlexBattleboi
  et 3 autres personnes
MAIS PTDR ?!
1
1",French
" 
@viedetom
  et  
@TwitterFrance
Ah non, je n'ai pas vu ?
1",French
" 
@AlexBattleboi
 @Shibanonyme
  et 3 autres personnes
je me suis fait bloquer littéralement pour une image qui dit ""un bon nazi est un nazi mort"".
2
1",French
" 
@Tigrevert
  et  
@TwitterFrance
Oui je viens d'en faire une belle.
1",French
" 
@viedetom
  et  
@TwitterFrance
Pour corriger nos erreurs d'orthographe. Ou celles des autres...
1
1",French
"Hey 
@TwitterFrance
, à quand la modification possible des tweets.
Merci.
1
1",French
" 
@jisootlic
 @LIAGUCCl
  et 2 autres personnes
jpense pas
1",French
" 
@mompontet
@TwitterFrance
 excellentissime votre modération ",French
"Bonjour 
@TwitterFrance
 : c'est parce que je soutien #Zemmour que vous ""Sponsorise"" ce truc ? la déontologie et la liberté d'expression elle sont où ? Ça fait 10 fois que vous me harcelez avec ce compte ! Vous deviez avoir honte ! #LaReconqueteAvecZemmour passera aussi sur vous !",French
"@PernotLea
 comment une chargée de Com peut laisser une journaliste faire passer pour « victimes » des membres de Daech 
@prefpolice
 @TwitterFrance
 @Twitter
 la propagande d’organisation terroriste est passible de bannissement / poursuite?",French
" 
@ZoltanTV
  et  
@TwitterFrance
Donc le signalement de masse sans raison permets clôturer des comptes d’utilisateurs (qu’importe les idées politiques du compte), mais se plaindre de menaces, insultes, accusations diffamatoires et même racisme en tout genre pour Twitter c’est «ok»
Leur politique vient d’ailleurs
1",French
" 
@ZoltanTV
  et  
@TwitterFrance
Twitter c'est des cassos qui font passer leur modération par des bots... J'attends le retour des signalements que j'ai fait",French
" 
@ZoltanTV
  et  
@TwitterFrance
@TwitterFrance
 depuis quand le harcèlement n'est pas une infraction dans vos règles ?
2",French
" 
@DocteurTwite
  et  
@TwitterFrance
Des bots Russes pour la plupart d'ailleurs
2",French
" 
@ZoltanTV
 @TwitterFrance
  et  
@PoliceNationale
J’ai rapidement suivi le truc mais c’est pas la pire idée que de tweeter ses émotions à chaud ? Genre t’es pas en train de nourrir un peu la bête là ?
1
2",French
"Putain il a cassé mon moode de la journée ce fils de satan, sérieusement je suis énervé.
J'espère vraiment qu'il va prendre un giga ban de 
@TwitterFrance
 genre définitif, parce que la next step c'est plainte à la 
@PoliceNationale
6
17",French
" 
@toutinverse
  et  
@TwitterFrance
Ils nous occupent.
Pdt qu'on est là à dénoncer ces gens, à mener nos gds combats et à ns diviser, on fait chier personne 

Ils ont mit un signalement désinformation au sujet des élections, s'ils avaient voulu le faire pour le vaccin...
1
3",French
" 
@toutinverse
  et  
@TwitterFrance
Y'a des dizaines voir des centaines de faux comptes de toutes nationalités et dans toutes les langues qui reprennent chaque post de décès ou de cancers en criant sous tous les toits que c'est dû aux vaccins Anti Covid
1
3",French
" 
@ZoltanTV
  et  
@TwitterFrance
J'ai signalé dans le doute
2",French
" 
@LaiciteD
 @Jack_Kalifa
  et 3 autres personnes
GIF
1",French
" 
@captain_Harloc
 @Jack_Kalifa
  et 3 autres personnes
Depuis le début 
1",French
" 
@iOli_Tech
  et  
@yjadot
Tweet signalé à 
@TwitterFrance
 pour mensonge en vu de manipuler l’électorat pour la #présidentielle2022",French
" 
@JBGoulard
  et  
@TwitterFrance
L’IA atteint ses limites quand le théâtre des opérations est assimilé à un divertissement.",French
"J'envisage de plus en plus de partir de Twitter. Ce genre de méthode sont déplorables, infectes et absolument scandaleuses. Sincèrement, je ne vous félicite pas 
@TwitterFrance
. Vous ne valez pas mieux que les autres.",French
" 
@JoshuaHabib4
  et  
@rvf1329200
tweeter a virer le compte de trump mais 
@TwitterFrance
  pas encore celui du zob ? pourtant plus dangereux encore !
2",French
"Mais ça ne va pas bien la tête, 
@TwitterFrance
 ?????????!
1",French
" 
@HyperTout
  et  
@Twitter
Pfff … tant que je saute pas avec mes photos de dick rivers.
Blague à part 
@TwitterFrance
 ça commence à faire beaucoup
2",French
"@TwitterSafety
 @TwitterFrance
 dites a la maison/ mère qu'on est passé de free muslims a free daesh dans les discussions et arrêtez vos space , ça commence a parler de djihâd et d'union pour tous . fermez ces # et livrez ces gens aux autorités de leurs pays .  bougez vous fissa
1
2
3",French
" 
@PTerraterre
 @Jack_Kalifa
  et 3 autres personnes
Je préfère le réel au récit ( .  Si vous n’avez toujours pas saisi avec cette accumulation de fissures .  «  ce n’est pas un vaccin , c’est plutôt un médicament » , le récit depuis 1 an: c’est un vaccin magique ; au bout d’un an : le réel : ce n’est pas un vaccin ",French
" 
@captain_Harloc
 @Jack_Kalifa
  et 3 autres personnes
Je préfère le réel au récit 
1",French
" 
@zoublibli
 @Jeuxcryptofr
  et 2 autres personnes
toi t'est du genre a faire ca 
@verified
 @Twitter
 @TwitterFrance
 @TwitterBlue",French
" 
@ElianeCarrier
@TwitterFrance
 tu laisses tranquillement des gens cracher des trucs aussi immondes sans réagir?
2",French
" 
@ftorama
 @FreeBibleRead
  et  
@TwitterFrance
Petites précisions sur la loi et le prosélytisme religieux :
fr.wikipedia.org
Prosélytisme — Wikipédia",French
" 
@BudBundydeParis
  et  
@TwitterFrance
Aaaaah aaaah c'est pire que Dallas Twitter
GIF
1",French
" 
@jhmaurice
  et  
@TwitterFrance
Why 
@jhmaurice
 membre du board pédagogique 
@MBADMB
 @EFAP_
 @HUBInstitute
  ! et il était la semaine dernière l'invité d'ouverture du #VisionaryDay #InsideDigitalRevolution #MBADMB ! Bravo JH  
@CultureRP
2
3",French
" 
@GrandSachoir
 @TwitterFrance
  et 3 autres personnes
Ca me poserait un problème si je pensais un seul instant qu'il puisse le faire, mais comme il se doute bien que la plupart des votes ""pour"" sont des trolls, ça ne risque rien.",French
"Mais bordel j'ai rien demandé : je me débrouille tout seul, je choisis mon contenu comme avant j'ai pas besoin de suggétions, j'ai pas besoin de merdes sponsorisé : j'ai besoin de rien alors arrête 
@TwitterFrance
. Je ne regarde même pas je balance tout alors arrête avec ça.
1",French
"Selon le dernier baromètre des Community Managers, 
@Meta
 ""n'est pas mort"" Facebook trône toujours sur la première marche du podium. 
et sur 
@TwitterFrance
 on privilégie le texte alors let's go...
source 
@BlogModerateur
1
2",French
"Une excellente nouvelle pour 
@mariealefur
 
Merci à toute la communauté 
@TwitterFrance
 et 
@RERC_SNCF
 pour la mobilisation
RER C
@RERC_SNCF
 · 8h
Merci à toutes et tous pour votre mobilisation, @mariealefur a retrouvé sa prothèse  twitter.com/mariealefur/st…
11",French
"@TwitterFrance
 c'est de pire en pire, voilà ce qui arrive quand la modération est faite par des robots incapable de faire la différence entre le 1er et le second degrés...
𝒁𝒐𝒍𝒌𝒂𝒏 𝒅𝒆𝒔 𝑩𝒂𝒍𝒌𝒂𝒏𝒔
@ZolkanBalkan
 · 8h
Le frere @tucoletruand_13 est définitivement suspendu a cause d un tweet anodin prit au premier degrés par @Twitter 
Il semblerait que la finesse d esprit et le discernement ne sois pas ou plus au gout du jour chez l oiseau bleu  
Je vous laisse juger par vous meme...
1",French
" 
@LaiciteD
 @Jack_Kalifa
  et 3 autres personnes
Oui on a compris que pour vous le débat ça sert à rien, vous préférez vous auto congratuler entre vous sur de fausses informations
1",French
" 
@GrandSachoir
 @TwitterFrance
  et 3 autres personnes
 Bah non, ça ne leur pose visiblement aucun problème ... Si le mec met vraiment ses menaces à exécution, (ce qui n'est pas totalement exclu, vu les tarés qui circulent en ce moment), on saura leur rappeler. 
@TwitterSupport
 @TwitterSafety
2",French
" 
@GrandSachoir
 @TwitterFrance
  et 3 autres personnes
En vidéo, en plus ...
2",French
" 
@ralifromparis
 @PatleNormand1
  et  
@TwitterFrance
C’est ignoble!
1",French
"Dis 
@TwitterFrance
 quand un islamophobe annonce qu'il va s'automutiler, ça te pose VRAIMENT aucun problème ? 
@TwitterSupport
 @TwitterSafety
 @damienviel
4
3
20",French
"Je commente un truc sur l'OGC Nice, l'algorithme de merde de 
@TwitterFrance
 me propose que des comptes liés au club. Putain.",French
"Fake les gars 
@TwitterFrance
Pauline Coquine
@pauline41243799
 · 11 janv. 2021
Preuves que je suis pas fake les bébés 
RT pour me faire plaisir ",French
"Compte fake les gars 
@TwitterFrance
Sheila La
@LilyJohana13
 · 12h
Bonjour  vous avec bien dormi mes bb ?",French
" 
@frhaz
 @Panamza
  et  
@TwitterFrance
Rien d'antisémite dans le tweet.
Niveau légal, M. Baaloul a-t-il bien demandé l'autorisation de la famille ?
Ce serait abject d'utiliser un tel drame pour des vues politiques ou religieuses sous couvert de bien-pensance",French
"Remettez les fleets 
@TwitterFrance",French
" 
@JohanneMontay
  et  
@TwitterFrance
L'extrême droite c ""le moteur"" des réseaux sociaux tel que twitter, du coup...",French
" 
@ralifromparis
  et  
@TwitterFrance
Ils ne disent rien de LGBTophobes. Ils ne font que parler de bribri. Ça les amuse.",French
" 
@dihoulaladine
 @TPMP
  et  
@TwitterFrance
bref. alors dude, désolé si j'ai enfreint une soi-disante règle... mais c'était pas voulu, et ça a été mal interprété! (maintenant, j'ai 2 semaines de retard à rattraper dans mon fil d'actu, lol). :P",French
" 
@dihoulaladine
 @TPMP
  et  
@TwitterFrance
t'en veux tjr plus ? idem, c'est le site officiel qui le dit : © ""une bande de joyeux drilles décrypte avec humour l'actualité du petit écran"". alors j'te retourne la question... ouais mais il est où l'humour ?
1",French
" 
@xZ3R0x_
 @Twitter
  et  
@TwitterFrance
Happy twitter day!
3",French
" 
@GRadioOfficiel
 @ralifromparis
  et  
@TwitterFrance
MDDDR culotté b0Uff0ne !!! Et postez des photos des gens sans leurs consentement est encore plus puni par la loi
1
1",French
"@TwitterFrance
 C'est plus possible cette erreur
#NFT",French
" 
@dihoulaladine
 @TPMP
  et  
@TwitterFrance
et pr la suite du tweet? bah j'me plains du manque de jeux à Tpmp. alors évidemment, pr se marrer et se divertir, c'est pas gagné avec l'autre et sa moche histoire, du coup! pourtant Tpmp est censé être 100% darka.
1",French
" 
@ralifromparis
  et  
@TwitterFrance
Le pire c est qu il est hyper sérieux et il y croit dur comme fer …  pauvre France 
8",French
" 
@F_Desouche
Le site est bien désactivé à l’instant.
En revanche ces islamistes œuvrent toujours sur Twitter.
@TwitterFrance
 L’apologie du terrorisme ne vous pose aucun problème ?
@GDarmanin
 Aucune pression de prévue de votre côté ?",French
"@TwitterFrance
 ???",French
"Encore des space LGBTophobes qui s’attaquent à madame Macron. 

Combien de temps 
@TwitterFrance
 va tolérer ces torrents de haines homophobes/ transphobes basés sur une fakenews?

A vomir 
2:20
1,2 k vues
14
19
53",French
" 
@EnrageeRadio
Tandis que face à nous, observons la discipline sans faille des sycophantes, tels ces gougnafiers usurpant notre identité pour se répandre dans la fange des calomnies et appels au meurtre, avec la bénédiction de 
@TwitterFrance
 
Coucou la 
@CNIL
 
3/3
1",French
"@TwitterFrance
 je demande à fav plusieurs fois
ᵐᵏᵃ☾★
@guuguu___
 · 22h
Fav si js une abonnée actif sur ton compte
1",French
"Encore des space LGBTophobes qui s’attaquent à madame Macron. 

Combien de temps 
@TwitterFrance
 va tolérer ces torrents de haines homophobes/ transphobes basés sur une fakenews?

A vomir 
1,2 k vues
0:00 / 2:20
14
19
53",French
" 
@steeve
 @vlanx0
  et  
@TwitterFrance
Idem sur Youtube avec Raoult... je regarde une vidéo padagogique ou technique, et pouf, raoult...
twitter est mois biaisé, fait dire que j'utilise les recherche pour faire une TL chronologique.
2",French
" 
@nbks75
 @TwitterFrance
  et 2 autres personnes
Merci de dénoncer ces voyous d’internet !!
3",French
"Voici les preuves 
@TwitterFrance
 :
1",French
" 
@Arn_Del
@TwitterFrance
  suffit d'insulter un facho pour être bloquer
1",French
" 
@RayanLe_retour
  et  
@TwitterFrance
A partir du moment où la pierre angulaire de ton programme politique tourne autour d'une discrimination notoire et que a part divisé la France tu n'apporte rien y a un problème
1",French
"C'est scandaleux 
@TwitterSupport
 @TwitterFrance
 . On ne compare pas une journaliste à Julius Streicher et en plus on ne la menace pas de mort. Merci de faire votre boulot.
Johanne Montay
@JohanneMontay
 · 25 janv.
L'AI de la modération de @Twitter trouve qu'il n'est pas contrevenant à ses règles de publier en réponse à une publication sur le Covid, une photo de l'époque nazie me racontant qu'un a pendu un journaliste collabo.
Afficher cette discussion
7",French
" 
@RayanLe_retour
  et  
@TwitterFrance
Un enfant de 4 ans pourrait monter qu'il est tellement dans un extrême que ça en devient presque une caricature
1",French
" 
@nbks75
 @TwitterFrance
  et  
@AksZik
Je ne connais pas cette personne, merci de bien vouloir m'associer à de tels voyou de Twitter.
2",French
" 
@JeromeBoateng
@OL
 @TwitterFrance",French
" 
@Kels_onee
  et  
@TwitterFrance
Dans le bon !
1",French
" 
@xZ3R0x_
 @Twitter
  et  
@TwitterFrance
1",French
" 
@Kels_onee
  et  
@TwitterFrance
Même pas !
1",French
"on est qu’à 10K rt ça va pas 
@LucasPaqueta97
 @brunoog97
 @Zack_Nani
 @TwitterFrance
 aidez nous
Jérôme Boateng
@JeromeBoateng
 · 23h
Si ce tweet obtient 100 000 RT, je parlerai à Robert.  #ConsiderItDone  twitter.com/henintsooaa/st…",French
" 
@vinceflibustier
 @JohanneMontay
  et  
@TwitterFrance
D'un autre coté si on peut plus se balancer des fions il reste facebook...",French
" 
@patrick_bertaux
 @TwitterFrance
  et 2 autres personnes
Pas très futé",French
" 
@SoniPv666
 @Rach_D_Rayan
  et 3 autres personnes
HAHHAHAHAHA SINJ
1",French
" 
@SoniPv666
 @Rach_D_Rayan
  et 3 autres personnes
Bah alors ? Réponds avec ton compte public
1",French
" 
@SoniPv666
 @Rach_D_Rayan
  et 3 autres personnes
Toi au vu de nos dm t'as beaucoup de pass visiblement.
1",French
" 
@_ineeesssss
 @Rach_D_Rayan
  et 3 autres personnes
@s0ni666
 attaque tonnerre
1
1",French
" 
@Rach_D_Rayan
 @s0ni666
  et 2 autres personnes
Étant moi même Africaine j'ai le pass, joue pas avec moi bg tu perdrais bien plus 
1",French
"Hey! 
@TwitterSupport
 I have a problem on the Android app, when I use its two back buttons, it automatically sends me to the top of every tweet.  This recently

 Thank you for your future response 
@Twitter
 @TwitterFrance
 @TwitterSupport
1",French
"Hé 
@TwitterFrance
 vous pourriez réactiver le compte de 
@Melody_Hain
 ? Les comptes d’abrutis répréhensibles ne manquent pas, avant que vous ne fermiez celui d’une intellectuelle.
4
6",French
" 
@diawarayass___
  et  
@TwitterFrance
1
1",French
" 
@xZ3R0x_
 @Twitter
  et  
@TwitterFrance
#welldone #Unstoppable
1",French
" 
@EmmanuelMacron
Tweeter c'est bien.
Répondre aux commentaires c'est mieux.
Sinon, à quoi ça sert d'avoir un compte 
@TwitterFrance
 ???",French
"Salut 
@TwitterFrance
 @Twitter
 je vais retweeter ce que je veux en fait. Vous pouvez toujours mettre votre petite alerte sur les articles que vous aimez pas, on va les retweeter.
@TF1
 @France2tv
 @FRANCE24
 @France3tv
 @canalplusgroupe
 @ARTEfr
 @M6Groupe
 @BFMTV
 @LaMatinaleWE 
@CNEWS
Michel Starr
@brienico
 · 25 janv.
 Alberta Canada a publié par inadvertance (et rapidement supprimé) des données sur la santé exposant que PLUS DE LA MOITIÉ DES DÉCÈS VACCINÉS ont été comptés comme non vaccinés. https://thegatewaypundit.com/2022/01/alberta-canada-inadvertently-published-quickly-deleted-health-data-exposing-half-vaccinated-deaths-counted-unvaccinated/?utm_source=Twitter&utm_medium=PostTopSharingButtons&utm_campaign=websitesharingbuttons…
2",French
" 
@1arcet1fleche
 @Twitter
  et 2 autres personnes
DesFaits.com
@gDesFaits
 · 3 août 2021
« On ne vaccine jamais pendant une épidémie »

Rapports scientifiques : le risque le plus élevé d'établissement d'une souche virale résistante au vaccin survient lorsqu'une grande partie de la population a déjà été vaccinée mais que la transmission n'est pas contrôlée. twitter.com/RobertKennedyJ…",French
" 
@grosfilley
 @JohanneMontay
  et  
@TwitterFrance
Pareil. Pour la même image. J'avais signalée celle qu'on a reçue avec Fabrice + celle que Johanne venait de recevoir",French
"@TwitterFrance
 @Policy
 on attends votre réaction !!!
Sleeping Giants FR
@slpng_giants_fr
 · 25 janv.
Coucou @TwitterFrance @Policy 

votre réponse ""y a pas souci"" à @aurelia_gilbert qui vous alerte à propos d'un tweet d'apologie du #terrorisme par une personne qui répond à une personne fichée S qui vante la candidature d'un raciste multirécidiviste

#Oslo #Utoya #Christchurch  twitter.com/aurelia_gilber…
Afficher cette discussion
1",French
" 
@JohanneMontay
  et  
@TwitterFrance
Soutien à ma collègue 
@JohanneMontay
 (moi on m’a promis un procès pour collaboration, je suis un cran en dessous … mais ça commence à bien faire )
2
2
20",French
"@TwitterFrance
 toujours rien de prévu contre les fake news, les profils conspirationnistes et antivax ?
Toujours pas un formulaire de signalement dédié histoire qu'on vous aide ? Parce qu'apparemment vous avez du mal à les repérer.",French
" 
@pam33771
Oh, un mytho ! Bon, un de plus ou moins, on n'est plus à ça près. Dit 
@TwitterFrance
 c'est autorisé les mensonges comme ça pour gratter des RT ?",French
@TwitterFrance,French
"@TwitterFrance
Johanne Montay
@JohanneMontay
 · 25 janv.
Une prise en mains de la modération ? @Twitter ? Ca permettrait aussi de trouver sexiste un ""Retourne à ta cuisine"" ? Merci de mettre du cerveau humain derrière le réseau.
Afficher cette discussion",French
" 
@sanjisexuel
 @agonise__
  et 2 autres personnes
3agoun92i",French
" 
@KevinC31000
 @l_extracteur
  et 2 autres personnes
Elle doit forcément être en suggestion chez les comptes complotistes pour que ç'en arrive là",French
" 
@slpng_giants_fr
 @aurelia_gilbert
  et 2 autres personnes
Tweet à encadrer, alors.
2",French
"C’est quoi la next step 
@twitter
 @TwitterFrance
 @damienviel
 ? On va pouvoir se réjouir des actes terroristes du bataclan avec votre bénédiction ?
1",French
" 
@l_extracteur
 @TwitterFrance
  et  
@Twitter
J'ai un problème similaire, j'ai une liste Twitter où je mettais les comptes complotistes hardcore, suivi par 2-3 comptes qui étaient eux-mêmes dans la liste. Et la en 3 jours la liste a gagné plus de 100 followers...quasi tous complotistes.
1
1",French
" 
@S_Kbreizhe
 @aurelia_gilbert
  et 2 autres personnes
Le tweet auquel il répondait ne l'était pas.
1
1",French
".
@Agon92i
 a été suspendu .
Ce compte vous a suivi pendant 8 mois (06/06/2021).

pas mérité 
@twitterfrance
 3
9",French
"La modération 
@twitter
 @TwitterFrance
 qui ne trouve rien à redire à l’apologie de crimes et délits 
2
1
7",French
" 
@l_extracteur
 @TwitterFrance
  et  
@Twitter
Encore la faute aux algorithmes.
GIF",French
" 
@slpng_giants_fr
 @TwitterFrance
  et 2 autres personnes
Visiblement 
@TwitterFrance
 ne connait pas la loi et je rappelle que s'ils laissent faire, ils sont coupables du même délit par association.

""Faire publiquement l'apologie de ces actes est puni de cinq ans d'emprisonnement et de 75 000 € d'amende.""

https://legifrance.gouv.fr/codes/article_lc/LEGIARTI000029755573/…
3
10",French
" 
@slpng_giants_fr
 @TwitterFrance
  et 2 autres personnes
Non mais ça va pas bien 
@TwitterFrance
 ??? 
1
4",French
" 
@aurelia_gilbert
  et  
@N_Henin
Apologie du terrorisme et 
@TwitterFrance
 n'y voit rien a redire ?
1
6",French
".
@TwitterFrance
 @Twitter
 
Vos algorithmes sont bien mal réglés s’ils font la pub de fake news à des gens qui n’ont rien demandé…
L'Extracteur #CitoyensDuWeb
@l_extracteur
 · 25 janv.
 On a un gros problème @TwitterFrance @Twitter :
vos algorithmes recommandent ce genre de fake news à des utilisateurs ne suivant pourtant aucun compte diffusant des fausses informations.
 C’est ça votre manière de lutter contre la désinformation ? En les promouvant ? 
Afficher cette discussion",French
" 
@Idkgold
  et  
@TwitterFrance
Ton doigt tremble tellement, l’addiction est trop forte",French
" 
@EoleDe
  et  
@TwitterFrance
Erreur. Je voulais liker un tweet plus haut 
1",French
"https://twitter.com/patrick_bertaux/status/1485059922727477249?s=20… 
Au lieu de nous cassé les couilles avec de faux compte (tweet cité) que 
@TwitterFrance
 laisse volontier. Vous nous emmerder pour 4 petites vidéos de rien du tout. mais l'usurpation d'identité vousvous en FOUTEZ ROYALEMENT...
Patrick BERTAUX
@patrick_bertaux
 · 23 janv.
Hello @JeniferOfficiel j'aurais tant aimé que ce soit vous qui me suive et non ce compte #fake. 
Signalé et bloqué dans quelques instant.
1",French
"merci 
@TwitterFrance
 1",French
" 
@Idkgold
  et  
@TwitterFrance
Tu vois tu likes frénétiquement.
GIF
1",French
" 
@l_extracteur
 @TwitterFrance
  et  
@Twitter
En même temps allez voir le nombre de RT sur le post initial et son mea-culpa. Pourquoi elle le supprimerai? Si on l'attaque pour Fakenews elle dira qu'elle a corrigé son erreur et actuellement ça lui fait gagner un max d'abonnés et de visibilité.",French
" 
@EoleDe
  et  
@TwitterFrance
1",French
" 
@l_extracteur
 @TwitterFrance
  et  
@Twitter
Le gouvernement : c'est important de se vacciner. 

Les conspi : le gouvernement c'est tous des menteurs. 

*Une Fake news sort, prétendant qu'un gouvernement a admit que le vaccin est nocif* 

Aussi les conspi : si le gouvernement le dit !
11",French
"Bonjour 
@TwitterFrance
 en quoi un passage de 10 secondes serait une atteinte aux droits d'auteur ? 
Hello 
@Twitter
 how would a passage of 10 seconds be an infringement of copyright ?",French
" 
@l_extracteur
 @TwitterFrance
  et  
@Twitter
Céline d'Arc, vous l'avez pas crue, vous l'aurez cuite.
#satombe
1",French
" 
@ThaDonCris
 @Twitter
  et  
@TwitterFrance
Bonne question, camarade.
1",French
" 
@Nain_Portekoi
Mais vu que 
@TwitterFrance
 dit que cela n'enfreint pas les règles de Twitter ni la lois, c'est que c'est bien de faire de la grossophobie primaire de la part d'une bande de décérébré sans arguments
41",French
" 
@l_extracteur
  et  
@TwitterFrance
La magie de Twitter.
On peut publier n'importe quel énorme mensonge et s'excuser dans la seconde qui suit, le mal est fait.",French
" 
@Valouci2
 @Twitter
  et  
@TwitterFrance
Oula ",French
" 
@grebert
 @50_euros
  et 2 autres personnes
Les attaques sont unilatérales, j'ai bloqué 
@50_euros
 mais je continu de subir ses continuelles piques et moqueries sur mes fautes...

je demande à 
@TwitterFrance
 de m'aider avec ce harcèlement.

J'attend une réponse.
2",French
"@TwitterFrance
 vous avez un PROBLEME à résoudre. Vite.
L'Extracteur #CitoyensDuWeb
@l_extracteur
 · 25 janv.
Même la personne diffusant cette fake news a reconnu s’être trompé mais laisse son tweet en ligne. 
Et @TwitterFrance suggère donc ce contenu à ses utilisateurs. Fabuleux. twitter.com/debunkeretoile…
Afficher cette discussion
1",French
" 
@kalou
 @TwitterFrance
  et  
@Twitter
Hallucinant
8",French
" 
@l_extracteur
 @TwitterFrance
  et  
@Twitter
Surtout qu'elle a fini par réaliser que ce qu'elle avait propagée haut et fort était une #FakeNews 

https://twitter.com/DeBunKerEtoiles/status/1485719994222710797?t=Y_XKatJhWY5IVlh-zrmQ0Q&s=19…

Mais elle laisse sont thread malgré tout en ligne.
Debunker des Etoiles
@DeBunKerEtoiles
 · 24 janv.
 Épopée d’une complotiste en 3 actes.

Acte 1 : L’excitation.
« Booom c’est une BOMBE ! Cette fois ça y est, regardez la page 23 c’est la preuve ultime ! Je suis tellement intelligente, j’ai battu les médecins et les médias ! ARRÊTEZ TOUT, J’AI TROUVÉ LA VÉRITÉ SUR INTERNET ! »
Afficher cette discussion
1
2
13",French
